,Astro,Endo,L5-1,Lhx6,NPY,Oligo,Reln,SST,Smc,VIP,eL2/3,eL5-2,eL5-3,eL6-1,eL6-2
3406x3143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3396x4003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3427x4113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3421x873,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3425x528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3434x376,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3431x4466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3420x5073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3421x1822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3441x6025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3421x6152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3464x2983,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3580x1656,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3587x397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3628x1800,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3619x6082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3641x5149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3645x4345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3613x2488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3648x3506,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3630x6532,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3659x4953,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3653x3697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3686x4486,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3655x1397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3702x5848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3655x6350,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3690x5449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3698x105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3719x752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3706x4678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3787x317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3790x3862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3759x2286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3803x4061,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3792x6474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3789x971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3786x2622,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3848x2821,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3879x3094,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3877x6004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3863x2947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3852x6212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3885x44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3910x4988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3906x162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3935x1658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3949x2550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3929x866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3942x5852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3921x521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3946x3418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4046x6156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4010x2199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4011x1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4104x3176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4110x3916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4148x4731,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4134x2938,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4193x1414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4111x1126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4147x817,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4170x5234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4193x581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4177x391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4222x6445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4264x3064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4317x2949,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4251x3369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4294x5323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4331x2129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4290x6213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4351x2853,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4363x1752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4320x4331,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4342x5127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4354x4957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4404x1201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4412x5841,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4427x102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4417x4209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4406x4605,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4418x6558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4453x768,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4444x6068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4490x995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4509x4475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4501x6314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4509x477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4515x1507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525x2809,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4522x3291,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4520x6201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4561x6531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4538x5661,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4578x4102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4646x3158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4593x5086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4577x2257,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4609x2041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4615x6185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4656x617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4675x2612,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4677x2451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4711x829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4702x1078,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4730x6199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4722x5834,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4737x1470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4728x4505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4755x6309,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4780x4823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4769x5498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4759x6556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4799x391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4796x2187,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4821x6409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4821x2058,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4868x1712,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4886x6558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4888x1406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4914x2319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4880x3244,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4898x5182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4913x4474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4898x2888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4936x829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4913x2596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000x1627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4983x4954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4963x2490,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5002x1786,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4980x96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5041x4133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5045x3740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5051x2803,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5055x3181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5096x2148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5094x4775,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5113x619,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5094x394,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5124x1121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5139x50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5153x2303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5154x1409,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5145x1696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5178x1998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5186x5580,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5189x4385,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5201x3099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5186x4112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5243x5879,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5231x737,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5243x1017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5273x4597,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5279x5177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5291x2416,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5314x87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5319x2241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5330x1293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5355x3077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5360x4876,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5403x417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5371x2120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5376x5991,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5428x942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5428x1497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5418x2692,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5431x4016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5448x5679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5438x6275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5448x4742,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5450x2532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5482x6537,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5510x588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5466x5485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5493x2206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5461x4504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5482x87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5491x3281,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5555x6436,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5559x1562,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5583x2411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
